Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,Player_URL
CT Mutombodzi (ZIM),2013-2015,11,10,1,112,27,12.44,160,70,0,0,0,http://stats.espncricinfo.com/ci/content/player/333001.html
Hasan Jamil (PAK),1977-1978,6,5,0,111,28,22.2,120,92.5,0,0,0,http://stats.espncricinfo.com/ci/content/player/40376.html
RDM Leverock (BMUDA),2006-2009,32,19,9,111,20*,11.1,382,29.05,0,0,1,http://stats.espncricinfo.com/ci/content/player/23742.html
Shan Masood (PAK),2019-2019,5,5,0,111,50,22.2,145,76.55,0,1,1,http://stats.espncricinfo.com/ci/content/player/233901.html
RD Brown (ZIM),1983-1987,7,7,0,110,38,15.71,334,32.93,0,0,0,http://stats.espncricinfo.com/ci/content/player/55275.html
Rashid Khan (PAK),1980-1985,29,15,7,110,17,13.75,173,63.58,0,0,0,http://stats.espncricinfo.com/ci/content/player/42421.html
MG Burmester (ZIM),1992-1995,8,7,1,109,39,18.16,207,52.65,0,0,0,http://stats.espncricinfo.com/ci/content/player/55279.html
CL Smith (ENG),1984-1984,4,4,0,109,70,27.25,240,45.41,0,1,0,http://stats.espncricinfo.com/ci/content/player/20233.html
DS Airee (NEPAL),2018-2019,6,6,0,108,40,18,158,68.35,0,0,1,http://stats.espncricinfo.com/ci/content/player/794707.html
MJ McClenaghan (NZ),2013-2016,48,14,10,108,34*,27,138,78.26,0,0,0,http://stats.espncricinfo.com/ci/content/player/319439.html
SS McKechnie (HKG),2017-2018,8,8,1,108,29,15.42,193,55.95,0,0,2,http://stats.espncricinfo.com/ci/content/player/459752.html
R Murray (ZIM),2018-2018,5,5,1,108,47,27,178,60.67,0,0,0,http://stats.espncricinfo.com/ci/content/player/696139.html
Hamid Hassan (AFG),2009-2019,38,22,6,107,17,6.68,195,54.87,0,0,4,http://stats.espncricinfo.com/ci/content/player/311427.html
SJ Rhodes (ENG),1989-1995,9,8,2,107,56,17.83,150,71.33,0,1,0,http://stats.espncricinfo.com/ci/content/player/19374.html
A Zampa (AUS),2016-2020,51,22,5,107,22,6.29,171,62.57,0,0,3,http://stats.espncricinfo.com/ci/content/player/379504.html
G Cook (ENG),1981-1983,6,6,0,106,32,17.66,261,40.61,0,0,0,http://stats.espncricinfo.com/ci/content/player/10793.html
CR Foggo (BMUDA),2008-2008,4,4,0,106,60,26.5,174,60.91,0,1,0,http://stats.espncricinfo.com/ci/content/player/23700.html
KO Meth (ZIM),2006-2012,11,8,0,106,53,13.25,183,57.92,0,1,2,http://stats.espncricinfo.com/ci/content/player/232443.html
Faruk Ahmed (BDESH),1988-1999,7,7,0,105,57,15,273,38.46,0,1,1,http://stats.espncricinfo.com/ci/content/player/55885.html
RK Kleinveldt (SA),2013-2013,10,7,0,105,43,15,124,84.67,0,0,1,http://stats.espncricinfo.com/ci/content/player/45949.html
TJ Laughlin (AUS),1978-1979,6,5,1,105,74,26.25,160,65.62,0,1,0,http://stats.espncricinfo.com/ci/content/player/6261.html
PM Toohey (AUS),1978-1979,5,4,2,105,54*,52.5,133,78.94,0,1,0,http://stats.espncricinfo.com/ci/content/player/7959.html
CD Collymore (WI),1999-2007,84,35,17,104,13*,5.77,261,39.84,0,0,8,http://stats.espncricinfo.com/ci/content/player/51481.html
D Elgar (SA),2012-2018,8,7,1,104,42,17.33,177,58.75,0,0,0,http://stats.espncricinfo.com/ci/content/player/230852.html
BP Nash (WI),2008-2009,9,7,3,104,39*,26,141,73.75,0,0,0,http://stats.espncricinfo.com/ci/content/player/6950.html
RP Singh (INDIA),2005-2011,58,20,10,104,23,10.4,242,42.97,0,0,3,http://stats.espncricinfo.com/ci/content/player/35280.html
MW Priest (NZ),1990-1998,18,14,4,103,24,10.3,225,45.77,0,0,2,http://stats.espncricinfo.com/ci/content/player/38132.html
G Toka (PNG),2019-2019,7,6,0,103,29,17.16,190,54.21,0,0,0,http://stats.espncricinfo.com/ci/content/player/646191.html
JW Wilson (NZ),1993-2005,6,6,1,103,44*,20.6,112,91.96,0,0,1,http://stats.espncricinfo.com/ci/content/player/38751.html
Ehsan Khan (HKG),2016-2018,15,12,3,102,27*,11.33,228,44.73,0,0,2,http://stats.espncricinfo.com/ci/content/player/40082.html
Waqas Barkat (HKG),2014-2018,10,10,2,102,27,12.75,184,55.43,0,0,3,http://stats.espncricinfo.com/ci/content/player/350632.html
D Wiese (SA),2015-2016,6,6,1,102,41*,20.4,115,88.69,0,0,0,http://stats.espncricinfo.com/ci/content/player/221140.html
Arshad Laeeq (UAE),1994-1996,6,6,1,101,43*,20.2,215,46.97,0,0,1,http://stats.espncricinfo.com/ci/content/player/25532.html
XJ Doherty (AUS),2010-2015,60,23,16,101,15*,14.42,184,54.89,0,0,2,http://stats.espncricinfo.com/ci/content/player/5017.html
ERNS Fernando (SL),1983-1983,7,5,0,101,36,20.2,216,46.75,0,0,2,http://stats.espncricinfo.com/ci/content/player/48803.html
RO Hinds (WI),2001-2004,14,9,3,101,18*,16.83,170,59.41,0,0,0,http://stats.espncricinfo.com/ci/content/player/52055.html
WR James (ZIM),1992-1996,11,8,1,101,29,14.42,255,39.6,0,0,1,http://stats.espncricinfo.com/ci/content/player/55524.html
TA Lloyd (ENG),1984-1984,3,3,0,101,49,33.66,228,44.29,0,0,0,http://stats.espncricinfo.com/ci/content/player/16322.html
Tabarak Dar (HKG),2004-2008,4,4,0,101,36,25.25,175,57.71,0,0,0,http://stats.espncricinfo.com/ci/content/player/24139.html
GB Troup (NZ),1976-1985,22,12,8,101,39,25.25,140,72.14,0,0,0,http://stats.espncricinfo.com/ci/content/player/38617.html
S Amarnath (INDIA),1978-1978,3,3,0,100,62,33.33,119,84.03,0,1,0,http://stats.espncricinfo.com/ci/content/player/26226.html
S Elworthy (SA),1998-2002,39,16,8,100,23,12.5,160,62.5,0,0,3,http://stats.espncricinfo.com/ci/content/player/44960.html
AC Evans (SCOT),2009-2019,36,18,8,100,28,10,157,63.69,0,0,2,http://stats.espncricinfo.com/ci/content/player/399259.html
MG Hughes (AUS),1988-1993,33,17,8,100,20,11.11,134,74.62,0,0,3,http://stats.espncricinfo.com/ci/content/player/5726.html
M Labuschagne (AUS),2020-2020,3,2,0,100,54,50,111,90.09,0,1,0,http://stats.espncricinfo.com/ci/content/player/787987.html
WB Rankin (ENG/IRE),2007-2020,75,34,21,100,18*,7.69,239,41.84,0,0,4,http://stats.espncricinfo.com/ci/content/player/24599.html
Shahzaib Hasan (PAK),2010-2010,3,3,0,100,50,33.33,113,88.49,0,1,0,http://stats.espncricinfo.com/ci/content/player/370846.html
NMK Smith (ENG),1996-1996,7,6,1,100,31,20,132,75.75,0,0,0,http://stats.espncricinfo.com/ci/content/player/20259.html
Akshay Homraj (USA),2019-2019,4,4,0,99,34,24.75,135,73.33,0,0,0,http://stats.espncricinfo.com/ci/content/player/1205381.html
LV Garrick (WI),2001-2001,3,3,0,99,76,33,204,48.52,0,1,0,http://stats.espncricinfo.com/ci/content/player/51877.html
AFG Griffith (WI),1996-2000,9,8,1,99,47,14.14,177,55.93,0,0,0,http://stats.espncricinfo.com/ci/content/player/51905.html
Irfan Ahmed (HKG),2008-2014,6,6,0,99,37,16.5,125,79.2,0,0,1,http://stats.espncricinfo.com/ci/content/player/208253.html
BC Rose (ENG),1977-1977,2,2,0,99,54,49.5,210,47.14,0,1,0,http://stats.espncricinfo.com/ci/content/player/19478.html
Saad Nasim (PAK),2015-2015,3,3,1,99,77*,49.5,124,79.83,0,1,1,http://stats.espncricinfo.com/ci/content/player/317248.html
DCC Borden (BMUDA),2006-2008,12,11,4,98,24,14,195,50.25,0,0,2,http://stats.espncricinfo.com/ci/content/player/23756.html
GJ Crocker (ZIM),1992-1993,6,5,1,98,50,24.5,105,93.33,0,1,0,http://stats.espncricinfo.com/ci/content/player/55321.html
EJ Gray (NZ),1984-1988,10,7,1,98,38,16.33,230,42.6,0,0,0,http://stats.espncricinfo.com/ci/content/player/37103.html
LR Johnson (WI),2008-2015,6,6,0,98,51,16.33,175,56,0,1,1,http://stats.espncricinfo.com/ci/content/player/52280.html
I Maraj (CAN),2003-2003,6,6,1,98,53*,19.6,264,37.12,0,1,2,http://stats.espncricinfo.com/ci/content/player/23846.html
Mohammad Ishaq (UAE),1994-1996,5,5,1,98,51*,24.5,130,75.38,0,1,0,http://stats.espncricinfo.com/ci/content/player/25539.html
GC Small (ENG),1987-1992,53,24,9,98,18*,6.53,188,52.12,0,0,6,http://stats.espncricinfo.com/ci/content/player/20217.html
Sohrawordi Shuvo (BDESH),2010-2011,17,10,3,98,20*,14,135,72.59,0,0,0,http://stats.espncricinfo.com/ci/content/player/56138.html
GM Ewing (ZIM),2004-2005,7,7,0,97,46,13.85,137,70.8,0,0,2,http://stats.espncricinfo.com/ci/content/player/55419.html
AL Kandappah (CAN),2007-2007,2,2,1,97,69*,97,156,62.17,0,1,0,http://stats.espncricinfo.com/ci/content/player/313432.html
RB Kerr (AUS),1985-1985,4,4,1,97,87*,32.33,159,61,0,1,0,http://stats.espncricinfo.com/ci/content/player/6145.html
BA King (WI),2019-2020,4,4,0,97,39,24.25,144,67.36,0,0,1,http://stats.espncricinfo.com/ci/content/player/670035.html
Manzoor Akhtar (PAK),1997-1998,7,4,0,97,44,24.25,147,65.98,0,0,0,http://stats.espncricinfo.com/ci/content/player/41264.html
Azhar Hossain (BDESH),1988-1990,7,7,0,96,54,13.71,266,36.09,0,1,0,http://stats.espncricinfo.com/ci/content/player/56229.html
MP Bicknell (ENG),1990-1991,7,6,2,96,31*,24,104,92.3,0,0,0,http://stats.espncricinfo.com/ci/content/player/9089.html
RE van der Merwe (NL/SA),2009-2019,15,8,3,96,57,19.2,95,101.05,0,1,1,http://stats.espncricinfo.com/ci/content/player/47850.html
Aamer Yamin (PAK),2015-2018,4,3,2,95,62,95,96,98.95,0,1,0,http://stats.espncricinfo.com/ci/content/player/434429.html
D Daesrath (CAN),2012-2013,4,3,0,95,40,31.66,137,69.34,0,0,0,http://stats.espncricinfo.com/ci/content/player/51739.html
AA Donald (SA),1991-2003,164,40,18,95,13,4.31,279,34.05,0,0,12,http://stats.espncricinfo.com/ci/content/player/44716.html
Mohammad Tauqir (UAE),2004-2015,11,9,2,95,55,13.57,164,57.92,0,1,0,http://stats.espncricinfo.com/ci/content/player/25601.html
HK Olonga (ZIM),1995-2003,50,27,14,95,31,7.3,163,58.28,0,0,6,http://stats.espncricinfo.com/ci/content/player/55675.html
JS Patel (NZ),2005-2017,43,15,8,95,34,13.57,162,58.64,0,0,1,http://stats.espncricinfo.com/ci/content/player/38141.html
KL Tucker (BMUDA),2006-2007,12,12,2,95,34,9.5,246,38.61,0,0,1,http://stats.espncricinfo.com/ci/content/player/23729.html
Aarif Sheikh (NEPAL),2018-2019,6,6,1,94,29,18.8,176,53.4,0,0,1,http://stats.espncricinfo.com/ci/content/player/701217.html
PC de Silva (SL),2014-2017,7,7,1,94,44,15.66,112,83.92,0,0,0,http://stats.espncricinfo.com/ci/content/player/345825.html
VC Drakes (WI),1995-2004,34,17,5,94,25,7.83,174,54.02,0,0,2,http://stats.espncricinfo.com/ci/content/player/51655.html
GFJ Liebenberg (SA),1995-1998,4,4,0,94,39,23.5,199,47.23,0,0,0,http://stats.espncricinfo.com/ci/content/player/45984.html
Mohammed Qasim (UAE),2017-2017,5,5,0,94,41,18.8,188,50,0,0,0,http://stats.espncricinfo.com/ci/content/player/943281.html
S Abid Ali (INDIA),1974-1975,5,3,0,93,70,31,132,70.45,0,1,0,http://stats.espncricinfo.com/ci/content/player/26169.html
Kabir Ali (ENG),2003-2006,14,9,3,93,39*,15.5,108,86.11,0,0,2,http://stats.espncricinfo.com/ci/content/player/8476.html
PVD Chameera (SL),2015-2019,23,14,7,93,19*,13.28,150,62,0,0,1,http://stats.espncricinfo.com/ci/content/player/552152.html
MR Gillespie (NZ),2006-2009,32,14,8,93,28,15.5,118,78.81,0,0,1,http://stats.espncricinfo.com/ci/content/player/37111.html
V Mehra (UAE),1994-1996,6,6,1,92,43,18.4,202,45.54,0,0,0,http://stats.espncricinfo.com/ci/content/player/25537.html
BC Strang (ZIM),1995-2001,49,26,8,92,18,5.11,220,41.81,0,0,5,http://stats.espncricinfo.com/ci/content/player/55756.html
SJ Harmison (ENG),2002-2009,58,25,14,91,18*,8.27,141,64.53,0,0,3,http://stats.espncricinfo.com/ci/content/player/14054.html
JV Harris (CAN),2003-2003,6,6,0,91,31,15.16,204,44.6,0,0,0,http://stats.espncricinfo.com/ci/content/player/23809.html
SG Peall (ZIM),1992-1996,21,15,1,91,21,6.5,150,60.66,0,0,4,http://stats.espncricinfo.com/ci/content/player/55691.html
DP Samaraweera (SL),1993-1994,5,4,0,91,49,22.75,169,53.84,0,0,0,http://stats.espncricinfo.com/ci/content/player/50422.html
RT Lyons (SCOT),2006-2010,25,14,10,90,28,22.5,147,61.22,0,0,0,http://stats.espncricinfo.com/ci/content/player/25475.html
GB Murgatroyd (NAM),2003-2003,6,6,0,90,52,15,145,62.06,0,1,2,http://stats.espncricinfo.com/ci/content/player/24799.html
A Nao (PNG),2017-2019,13,11,9,90,46,45,83,108.43,0,0,0,http://stats.espncricinfo.com/ci/content/player/524247.html
A Ratra (INDIA),2002-2002,12,8,1,90,30,12.85,127,70.86,0,0,0,http://stats.espncricinfo.com/ci/content/player/33127.html
Aamer Hanif (PAK),1993-1995,5,4,2,89,36*,44.5,128,69.53,0,0,0,http://stats.espncricinfo.com/ci/content/player/38964.html
FA Allen (WI),2018-2019,12,10,3,89,51,12.71,101,88.11,0,1,1,http://stats.espncricinfo.com/ci/content/player/670013.html
Bilawal Bhatti (PAK),2013-2015,10,7,1,89,39,14.83,75,118.66,0,0,1,http://stats.espncricinfo.com/ci/content/player/343305.html
JJ van der Wath (SA),2006-2007,10,8,2,89,37*,14.83,70,127.14,0,0,3,http://stats.espncricinfo.com/ci/content/player/47693.html
V Aravind (UAE),2019-2020,6,6,0,88,29,14.66,100,88,0,0,0,http://stats.espncricinfo.com/ci/content/player/1178586.html
VB Chandrasekhar (INDIA),1988-1990,7,7,0,88,53,12.57,162,54.32,0,1,0,http://stats.espncricinfo.com/ci/content/player/27592.html
NK Patel (USA),2019-2019,6,5,0,88,40,17.6,134,65.67,0,0,0,http://stats.espncricinfo.com/ci/content/player/233258.html
Raees Ahmadzai (AFG),2009-2010,5,4,1,88,39,29.33,137,64.23,0,0,0,http://stats.espncricinfo.com/ci/content/player/320284.html
AJ Traicos (ZIM),1983-1993,27,17,9,88,19,11,175,50.28,0,0,1,http://stats.espncricinfo.com/ci/content/player/55802.html
Anil Dalpat (PAK),1984-1986,15,10,3,87,37,12.42,136,63.97,0,0,1,http://stats.espncricinfo.com/ci/content/player/38999.html
H Hiri (PNG),2016-2019,7,7,3,87,31*,21.75,137,63.5,0,0,1,http://stats.espncricinfo.com/ci/content/player/646175.html
K Jethi (CAN),2008-2008,3,3,1,87,46*,43.5,79,110.12,0,0,0,http://stats.espncricinfo.com/ci/content/player/23862.html
RM Ellison (ENG),1984-1986,14,12,4,86,24,10.75,110,78.18,0,0,0,http://stats.espncricinfo.com/ci/content/player/12507.html
BD Julien (WI),1973-1977,12,8,2,86,26*,14.33,148,58.1,0,0,1,http://stats.espncricinfo.com/ci/content/player/52208.html
EH Mattis (WI),1981-1981,2,2,0,86,62,43,190,45.26,0,1,0,http://stats.espncricinfo.com/ci/content/player/52427.html
Mohammad Nadeem (OMAN),2019-2020,6,5,2,86,41,28.66,159,54.08,0,0,0,http://stats.espncricinfo.com/ci/content/player/41984.html
AD Mullally (ENG),1996-2001,50,25,10,86,20,5.73,238,36.13,0,0,6,http://stats.espncricinfo.com/ci/content/player/17121.html
RK Paudel (NEPAL),2018-2019,4,4,0,86,55,21.5,111,77.47,0,1,0,http://stats.espncricinfo.com/ci/content/player/1072488.html
R Vinay Kumar (INDIA),2010-2013,31,13,4,86,27*,9.55,146,58.9,0,0,2,http://stats.espncricinfo.com/ci/content/player/35731.html
BV Vitori (ZIM),2011-2018,24,14,3,86,20*,7.81,90,95.55,0,0,5,http://stats.espncricinfo.com/ci/content/player/235514.html
W Watson (NZ),1986-1994,61,24,13,86,21,7.81,180,47.77,0,0,3,http://stats.espncricinfo.com/ci/content/player/38742.html
PB Dassanayake (SL),1993-1994,16,10,2,85,20*,10.62,142,59.85,0,0,0,http://stats.espncricinfo.com/ci/content/player/48445.html
PJC Hoffmann (SCOT),2006-2007,18,14,3,85,31,7.72,69,123.18,0,0,3,http://stats.espncricinfo.com/ci/content/player/25432.html
KAD Hurdle (BMUDA),2006-2007,19,13,5,85,22,10.62,101,84.15,0,0,2,http://stats.espncricinfo.com/ci/content/player/23685.html
SI Mahmood (ENG),2004-2009,26,15,4,85,22*,7.72,101,84.15,0,0,3,http://stats.espncricinfo.com/ci/content/player/17944.html
KJ Barnett (ENG),1988-1988,1,1,0,84,84,84,146,57.53,0,1,0,http://stats.espncricinfo.com/ci/content/player/9002.html
IG Butler (NZ),2002-2010,26,13,5,84,25,10.5,154,54.54,0,0,2,http://stats.espncricinfo.com/ci/content/player/36331.html
SF Dukanwala (UAE),1996-1996,5,4,2,84,40*,42,139,60.43,0,0,0,http://stats.espncricinfo.com/ci/content/player/25534.html
VB John (SL),1982-1987,45,19,10,84,15,9.33,152,55.26,0,0,3,http://stats.espncricinfo.com/ci/content/player/49213.html
GI Maiden (SCOT),2010-2011,7,6,2,84,31,21,133,63.15,0,0,1,http://stats.espncricinfo.com/ci/content/player/25102.html
Saqib Ali (UAE),2008-2014,5,5,1,84,25*,21,129,65.11,0,0,0,http://stats.espncricinfo.com/ci/content/player/42746.html
Younis Ahmed (PAK),1987-1987,2,2,0,84,58,42,151,55.62,0,1,0,http://stats.espncricinfo.com/ci/content/player/43648.html
OAC Banks (WI),2003-2005,5,5,0,83,33,16.6,149,55.7,0,0,0,http://stats.espncricinfo.com/ci/content/player/51258.html
GH Bodi (SA),2007-2007,2,2,0,83,51,41.5,132,62.87,0,1,0,http://stats.espncricinfo.com/ci/content/player/44089.html
SS Cottrell (WI),2015-2020,32,15,8,83,17,11.85,109,76.14,0,0,1,http://stats.espncricinfo.com/ci/content/player/495551.html
AG Davies (SCOT),1999-1999,5,5,1,83,32,20.75,154,53.89,0,0,1,http://stats.espncricinfo.com/ci/content/player/25091.html
LHD Dilhara (SL),2005-2013,9,9,0,83,29,9.22,107,77.57,0,0,1,http://stats.espncricinfo.com/ci/content/player/48487.html
DJM Short (AUS),2018-2018,4,4,1,83,47*,27.66,99,83.83,0,0,1,http://stats.espncricinfo.com/ci/content/player/308798.html
R Strydom (IRE),2008-2008,9,6,0,83,37,13.83,155,53.54,0,0,0,http://stats.espncricinfo.com/ci/content/player/303341.html
RGD Willis (ENG),1973-1984,64,22,14,83,24,10.37,157,52.86,0,0,4,http://stats.espncricinfo.com/ci/content/player/22462.html
RR David (CAN),2008-2010,4,3,0,82,48,27.33,170,48.23,0,0,0,http://stats.espncricinfo.com/ci/content/player/365126.html
C Hemraj (WI),2018-2018,6,6,0,82,32,13.66,98,83.67,0,0,0,http://stats.espncricinfo.com/ci/content/player/530811.html
LJ Koen (SA),1997-2000,5,5,0,82,28,16.4,169,48.52,0,0,1,http://stats.espncricinfo.com/ci/content/player/45828.html
DB Kotze (NAM),2003-2003,6,6,1,82,27,16.4,135,60.74,0,0,0,http://stats.espncricinfo.com/ci/content/player/24841.html
Nasir Aziz (UAE),2014-2015,5,3,0,82,60,27.33,125,65.6,0,1,0,http://stats.espncricinfo.com/ci/content/player/447290.html
RD Robinson (AUS),1977-1977,2,2,0,82,70,41,143,57.34,0,1,0,http://stats.espncricinfo.com/ci/content/player/7376.html
MC Henriques (AUS),2009-2017,11,10,1,81,18,9,119,68.06,0,0,0,http://stats.espncricinfo.com/ci/content/player/5961.html
Mahbubul Alam (BDESH),2009-2009,5,2,0,81,59,40.5,71,114.08,0,1,0,http://stats.espncricinfo.com/ci/content/player/56032.html
AM Phangiso (SA),2013-2016,21,13,2,81,20,7.36,162,50,0,0,3,http://stats.espncricinfo.com/ci/content/player/46942.html
GA Rogers (SCOT),2006-2008,13,8,3,81,26,16.2,169,47.92,0,0,1,http://stats.espncricinfo.com/ci/content/player/272473.html
Shahid Wasif (HKG),2016-2018,10,7,0,81,45,11.57,163,49.69,0,0,1,http://stats.espncricinfo.com/ci/content/player/919489.html
S Sriram (INDIA),2000-2004,8,7,1,81,57,13.5,135,60,0,1,1,http://stats.espncricinfo.com/ci/content/player/34118.html
Syed Rasel (BDESH),2005-2010,52,27,11,81,15,5.06,185,43.78,0,0,5,http://stats.espncricinfo.com/ci/content/player/56160.html
JNT Vare (PNG),2014-2018,9,9,1,81,28,10.12,110,73.63,0,0,0,http://stats.espncricinfo.com/ci/content/player/25065.html
Jai P Yadav (INDIA),2002-2005,12,7,3,81,69,20.25,123,65.85,0,1,2,http://stats.espncricinfo.com/ci/content/player/36054.html
Aftab Alam (AFG),2010-2019,27,17,10,80,16*,11.42,107,74.76,0,0,3,http://stats.espncricinfo.com/ci/content/player/440963.html
G Goudie (SCOT),2008-2013,16,11,3,80,23,10,99,80.8,0,0,2,http://stats.espncricinfo.com/ci/content/player/25476.html
TR Gripper (ZIM),2001-2003,8,8,0,80,26,10,187,42.78,0,0,1,http://stats.espncricinfo.com/ci/content/player/55463.html
Hammad Azam (PAK),2011-2015,11,7,2,80,36,16,131,61.06,0,0,0,http://stats.espncricinfo.com/ci/content/player/384518.html
PWE Rawson (ZIM),1983-1987,10,8,3,80,24*,16,123,65.04,0,0,1,http://stats.espncricinfo.com/ci/content/player/55710.html
SK Sharma (INDIA),1988-1990,23,12,4,80,28,10,135,59.25,0,0,2,http://stats.espncricinfo.com/ci/content/player/33963.html
TD Astle (NZ),2017-2019,9,5,2,79,49,26.33,77,102.59,0,0,0,http://stats.espncricinfo.com/ci/content/player/213674.html
S Badrinath (INDIA),2008-2011,7,6,1,79,27*,15.8,172,45.93,0,0,0,http://stats.espncricinfo.com/ci/content/player/26806.html
Shahadat Hossain (BDESH),2006-2013,51,27,17,79,16*,7.9,151,52.31,0,0,3,http://stats.espncricinfo.com/ci/content/player/56149.html
MHN Walker (AUS),1974-1981,17,11,3,79,20,9.87,170,46.47,0,0,1,http://stats.espncricinfo.com/ci/content/player/8137.html
UT Yadav (INDIA),2010-2018,75,24,14,79,18*,7.9,134,58.95,0,0,4,http://stats.espncricinfo.com/ci/content/player/376116.html
AC Dale (AUS),1997-2000,30,12,8,78,15*,19.5,136,57.35,0,0,1,http://stats.espncricinfo.com/ci/content/player/4890.html
MF Kent (AUS),1981-1981,5,5,1,78,33,19.5,133,58.64,0,0,0,http://stats.espncricinfo.com/ci/content/player/6143.html
Mustafizur Rahman (BDESH),2015-2019,56,27,17,78,18*,7.8,136,57.35,0,0,4,http://stats.espncricinfo.com/ci/content/player/330902.html
MW Rushmere (SA),1992-1992,4,4,0,78,35,19.5,174,44.82,0,0,0,http://stats.espncricinfo.com/ci/content/player/47011.html
Sami Aslam (PAK),2015-2016,4,4,0,78,45,19.5,117,66.66,0,0,0,http://stats.espncricinfo.com/ci/content/player/547079.html
MH Tissera (SL),1975-1975,3,3,0,78,52,26,147,53.06,0,1,0,http://stats.espncricinfo.com/ci/content/player/50745.html
NM Lyon (AUS),2012-2019,29,14,10,77,30,19.25,83,92.77,0,0,1,http://stats.espncricinfo.com/ci/content/player/272279.html
HR Walsh (USA/WI),2019-2020,8,3,1,77,46*,38.5,104,74.03,0,0,0,http://stats.espncricinfo.com/ci/content/player/443263.html
KJ Abbott (SA),2013-2016,28,13,4,76,23,8.44,126,60.31,0,0,1,http://stats.espncricinfo.com/ci/content/player/297583.html
TL Best (WI),2004-2014,26,16,8,76,24,9.5,125,60.8,0,0,1,http://stats.espncricinfo.com/ci/content/player/51436.html
IG Holland (USA),2019-2019,4,4,0,76,44,19,92,82.6,0,0,0,http://stats.espncricinfo.com/ci/content/player/334340.html
CA Lynn (AUS),2017-2018,4,4,0,75,44,18.75,89,84.26,0,0,1,http://stats.espncricinfo.com/ci/content/player/326637.html
KW Richardson (AUS),2013-2020,24,11,6,75,24*,15,67,111.94,0,0,2,http://stats.espncricinfo.com/ci/content/player/272262.html
AP Sheahan (AUS),1972-1972,3,3,0,75,50,25,124,60.48,0,1,0,http://stats.espncricinfo.com/ci/content/player/7597.html
KDK Vithanage (SL),2013-2014,6,6,1,75,27,15,90,83.33,0,0,0,http://stats.espncricinfo.com/ci/content/player/342616.html
NG Jones (IRE),2010-2011,14,9,4,74,25*,14.8,102,72.54,0,0,0,http://stats.espncricinfo.com/ci/content/player/406308.html
MS Kasprowicz (AUS),1995-2005,43,13,9,74,28*,18.5,89,83.14,0,0,2,http://stats.espncricinfo.com/ci/content/player/6126.html
PWA Mulder (SA),2017-2019,10,8,3,74,19*,14.8,89,83.14,0,0,0,http://stats.espncricinfo.com/ci/content/player/698189.html
MM Patel (INDIA),2006-2011,70,27,16,74,15,6.72,112,66.07,0,0,4,http://stats.espncricinfo.com/ci/content/player/32965.html
Yasir Arafat (PAK),2000-2009,11,8,3,74,27,14.8,110,67.27,0,0,0,http://stats.espncricinfo.com/ci/content/player/43654.html
FH Edwards (WI),2003-2009,50,22,14,73,13,9.12,160,45.62,0,0,2,http://stats.espncricinfo.com/ci/content/player/51782.html
CK Langeveldt (SA),2001-2010,72,21,10,73,12,6.63,124,58.87,0,0,1,http://stats.espncricinfo.com/ci/content/player/45963.html
EB McSweeney (NZ),1986-1987,16,14,5,73,18*,8.11,119,61.34,0,0,2,http://stats.espncricinfo.com/ci/content/player/37714.html
GR Sealy (CAN),1979-1979,3,3,0,73,45,24.33,149,48.99,0,0,0,http://stats.espncricinfo.com/ci/content/player/23788.html
CS Serjeant (AUS),1977-1978,3,3,0,73,46,24.33,158,46.2,0,0,0,http://stats.espncricinfo.com/ci/content/player/7594.html
R Telemachus (SA),1998-2006,37,15,3,73,29,6.08,94,77.65,0,0,2,http://stats.espncricinfo.com/ci/content/player/47539.html
AL Wadekar (INDIA),1974-1974,2,2,0,73,67,36.5,90,81.11,0,1,0,http://stats.espncricinfo.com/ci/content/player/35933.html
DS Weerakkody (SL),2017-2017,3,3,0,73,58,24.33,66,110.6,0,1,0,http://stats.espncricinfo.com/ci/content/player/499592.html
G Blakeney (BMUDA),2009-2009,2,2,0,72,42,36,69,104.34,0,0,0,http://stats.espncricinfo.com/ci/content/player/23758.html
TG Hogan (AUS),1983-1984,16,12,4,72,27,9,95,75.78,0,0,1,http://stats.espncricinfo.com/ci/content/player/5679.html
BA Murphy (ZIM),2000-2003,31,17,8,72,20*,8,130,55.38,0,0,1,http://stats.espncricinfo.com/ci/content/player/55610.html
OL Pitcher (BMUDA),2007-2007,5,5,0,72,30,14.4,217,33.17,0,0,1,http://stats.espncricinfo.com/ci/content/player/23702.html
I Sharma (INDIA),2007-2016,80,28,13,72,13,4.8,203,35.46,0,0,5,http://stats.espncricinfo.com/ci/content/player/236779.html
S Viswanath (INDIA),1985-1988,22,12,4,72,23*,9,139,51.79,0,0,0,http://stats.espncricinfo.com/ci/content/player/35713.html
CJ Adams (ENG),1998-2000,5,4,0,71,42,17.75,144,49.3,0,0,0,http://stats.espncricinfo.com/ci/content/player/8487.html
DI Allan (KENYA),2011-2013,5,5,0,71,27,14.2,153,46.4,0,0,0,http://stats.espncricinfo.com/ci/content/player/472153.html
SA Edwards (NL),2018-2019,4,3,1,71,44*,35.5,81,87.65,0,0,0,http://stats.espncricinfo.com/ci/content/player/1127317.html
EH Hutchinson (USA),2019-2019,4,3,1,71,42*,35.5,49,144.89,0,0,0,http://stats.espncricinfo.com/ci/content/player/552881.html
