Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,Player_URL
AJ Lamb (ENG),1982-1992,122,118,16,4010,118,39.31,5308,75.54,4,26,8,http://stats.espncricinfo.com/ci/content/player/16178.html
Mahmudullah (BDESH),2007-2019,185,160,42,3994,128*,33.84,5222,76.48,3,21,8,http://stats.espncricinfo.com/ci/content/player/56025.html
RP Arnold (SL),1997-2007,180,155,43,3950,103,35.26,5443,72.57,1,28,7,http://stats.espncricinfo.com/ci/content/player/48122.html
AP Gurusinha (SL),1985-1996,147,143,5,3902,117*,28.27,6409,60.88,2,22,12,http://stats.espncricinfo.com/ci/content/player/49005.html
JG Wright (NZ),1978-1992,149,148,1,3891,101,26.46,6804,57.18,1,24,9,http://stats.espncricinfo.com/ci/content/player/38757.html
DJ Cullinan (SA),1993-2000,138,133,16,3860,124,32.99,5492,70.28,3,23,10,http://stats.espncricinfo.com/ci/content/player/44489.html
GA Hick (ENG),1991-2001,120,118,15,3846,126*,37.33,5191,74.08,5,27,10,http://stats.espncricinfo.com/ci/content/player/14187.html
JC Buttler (ENG),2012-2019,142,117,23,3843,150,40.88,3207,119.83,9,20,12,http://stats.espncricinfo.com/ci/content/player/308967.html
HP Tillakaratne (SL),1986-2003,200,168,40,3789,104,29.6,6588,57.51,2,13,10,http://stats.espncricinfo.com/ci/content/player/50744.html
N Kapil Dev (INDIA),1978-1994,225,198,39,3783,175*,23.79,3979,95.07,1,14,13,http://stats.espncricinfo.com/ci/content/player/30028.html
Wasim Akram (PAK),1984-2003,356,280,55,3717,86,16.52,4208,88.33,0,6,28,http://stats.espncricinfo.com/ci/content/player/43547.html
SC Williams (ZIM),2005-2019,131,127,18,3717,129*,34.1,4546,81.76,3,31,7,http://stats.espncricinfo.com/ci/content/player/55870.html
RS Kaluwitharana (SL),1990-2004,189,181,14,3711,102*,22.22,4776,77.7,2,23,24,http://stats.espncricinfo.com/ci/content/player/49361.html
Imran Khan (PAK),1974-1992,175,151,40,3709,102*,33.41,5105,72.65,1,19,6,http://stats.espncricinfo.com/ci/content/player/40560.html
PV Simmons (WI),1987-1999,143,138,11,3675,122,28.93,5407,67.96,5,18,14,http://stats.espncricinfo.com/ci/content/player/52934.html
NV Knight (ENG),1996-2003,100,100,10,3637,125*,40.41,5085,71.52,5,25,6,http://stats.espncricinfo.com/ci/content/player/15913.html
LD Chandimal (SL),2010-2019,146,132,21,3599,111,32.42,4855,74.12,4,22,11,http://stats.espncricinfo.com/ci/content/player/300628.html
L Klusener (SA),1996-2004,171,137,50,3576,103*,41.1,3977,89.91,2,19,13,http://stats.espncricinfo.com/ci/content/player/45821.html
KJ O'Brien (IRE),2006-2020,145,133,17,3546,142,30.56,3981,89.07,2,18,5,http://stats.espncricinfo.com/ci/content/player/24605.html
SM Pollock (Afr/ICC/SA),1996-2008,303,205,72,3519,130,26.45,4059,86.69,1,14,20,http://stats.espncricinfo.com/ci/content/player/46774.html
MA Taylor (AUS),1989-1997,113,110,1,3514,105,32.23,5909,59.46,1,28,4,http://stats.espncricinfo.com/ci/content/player/7924.html
DB Vengsarkar (INDIA),1976-1991,129,120,19,3508,105,34.73,5179,67.73,1,23,7,http://stats.espncricinfo.com/ci/content/player/35654.html
Mohammad Ashraful (Asia/BDESH),2001-2013,177,169,13,3468,109,22.23,4947,70.1,3,20,14,http://stats.espncricinfo.com/ci/content/player/55988.html
SO Tikolo (Afr/KENYA),1996-2014,135,130,12,3428,111,29.05,4524,75.77,3,24,13,http://stats.espncricinfo.com/ci/content/player/24728.html
HH Dippenaar (Afr/SA),1999-2007,107,95,14,3421,125*,42.23,5047,67.78,4,26,4,http://stats.espncricinfo.com/ci/content/player/44708.html
A Flintoff (ENG/ICC),1999-2009,141,122,16,3394,123,32.01,3821,88.82,3,18,9,http://stats.espncricinfo.com/ci/content/player/12856.html
T Taibu (Afr/ZIM),2001-2012,150,137,21,3393,107*,29.25,5020,67.58,2,22,16,http://stats.espncricinfo.com/ci/content/player/55805.html
JJ Roy (ENG),2015-2019,84,81,2,3381,180,42.79,3148,107.4,9,18,7,http://stats.espncricinfo.com/ci/content/player/298438.html
KC Wessels (AUS/SA),1983-1994,109,105,7,3367,107,34.35,6088,55.3,1,26,0,http://stats.espncricinfo.com/ci/content/player/47884.html
Babar Azam (PAK),2015-2019,74,72,10,3359,125*,54.17,3857,87.08,11,15,2,http://stats.espncricinfo.com/ci/content/player/348144.html
AC Parore (NZ),1992-2002,179,161,32,3314,108,25.68,4867,68.09,1,14,19,http://stats.espncricinfo.com/ci/content/player/38117.html
Moin Khan (PAK),1990-2004,219,183,41,3266,72*,23,4017,81.3,0,12,17,http://stats.espncricinfo.com/ci/content/player/41306.html
Kamran Akmal (PAK),2002-2017,157,138,14,3236,124,26.09,3855,83.94,5,10,10,http://stats.espncricinfo.com/ci/content/player/41028.html
AN Cook (ENG),2006-2014,92,92,4,3204,137,36.4,4154,77.13,5,19,7,http://stats.espncricinfo.com/ci/content/player/11728.html
HDRL Thirimanne (SL),2010-2019,127,106,14,3194,139*,34.71,4419,72.27,4,21,7,http://stats.espncricinfo.com/ci/content/player/301236.html
Umar Akmal (PAK),2009-2019,121,110,17,3194,102*,34.34,3712,86.04,2,20,8,http://stats.espncricinfo.com/ci/content/player/317273.html
DI Gower (ENG),1978-1991,114,111,8,3170,158,30.77,4218,75.15,7,12,6,http://stats.espncricinfo.com/ci/content/player/13418.html
KR Rutherford (NZ),1985-1995,121,115,9,3143,108,29.65,4888,64.3,2,18,6,http://stats.espncricinfo.com/ci/content/player/38258.html
BJ Haddin (AUS),2001-2015,126,115,16,3122,110,31.53,3706,84.24,2,16,2,http://stats.espncricinfo.com/ci/content/player/5560.html
RJ Shastri (INDIA),1981-1992,150,128,21,3108,109,29.04,5089,61.07,4,18,5,http://stats.espncricinfo.com/ci/content/player/33975.html
SM Gavaskar (INDIA),1974-1987,108,102,14,3092,103*,35.13,4966,62.26,1,27,8,http://stats.espncricinfo.com/ci/content/player/28794.html
DS Lehmann (AUS),1996-2005,117,101,22,3078,119,38.96,3784,81.34,4,17,4,http://stats.espncricinfo.com/ci/content/player/6285.html
DA Miller (SA),2010-2019,126,110,31,3058,139,38.7,3054,100.13,5,12,8,http://stats.espncricinfo.com/ci/content/player/321777.html
SD Hope (WI),2016-2020,75,70,10,3051,170,50.85,4129,73.89,8,15,4,http://stats.espncricinfo.com/ci/content/player/581379.html
GJ Bailey (AUS),2012-2016,90,85,10,3044,156,40.58,3645,83.51,3,22,3,http://stats.espncricinfo.com/ci/content/player/4451.html
V Sibanda (Afr/ZIM),2003-2016,127,126,4,2994,116,24.54,4716,63.48,2,21,14,http://stats.espncricinfo.com/ci/content/player/55787.html
DJ Bravo (WI),2004-2014,164,141,24,2968,112*,25.36,3606,82.3,2,10,11,http://stats.espncricinfo.com/ci/content/player/51439.html
AM Rahane (INDIA),2011-2018,90,87,3,2962,111,35.26,3767,78.63,3,24,6,http://stats.espncricinfo.com/ci/content/player/277916.html
HH Streak (Afr/ZIM),1993-2005,189,159,55,2943,79*,28.29,4008,73.42,0,13,6,http://stats.espncricinfo.com/ci/content/player/55761.html
WW Hinds (WI),1999-2010,119,111,10,2880,127*,28.51,4393,65.55,5,14,8,http://stats.espncricinfo.com/ci/content/player/52057.html
GJ Maxwell (AUS),2012-2019,110,100,11,2877,102,32.32,2332,123.37,1,19,9,http://stats.espncricinfo.com/ci/content/player/325026.html
JM Bairstow (ENG),2011-2019,74,68,8,2861,141*,47.68,2749,104.07,9,11,5,http://stats.espncricinfo.com/ci/content/player/297433.html
DM Bravo (WI),2009-2019,110,105,13,2839,124,30.85,4045,70.18,3,18,8,http://stats.espncricinfo.com/ci/content/player/277472.html
IJL Trott (ENG),2009-2013,68,65,10,2819,137,51.25,3658,77.06,4,22,5,http://stats.espncricinfo.com/ci/content/player/47623.html
AL Logie (WI),1981-1993,158,133,36,2809,109*,28.95,3801,73.9,1,14,13,http://stats.espncricinfo.com/ci/content/player/52347.html
AH Jones (NZ),1987-1995,87,87,9,2784,93,35.69,4811,57.86,0,25,4,http://stats.espncricinfo.com/ci/content/player/37491.html
Mohammad Nabi (AFG),2009-2019,124,112,12,2782,116,27.82,3252,85.54,1,15,6,http://stats.espncricinfo.com/ci/content/player/25913.html
SE Marsh (AUS),2008-2019,73,72,4,2773,151,40.77,3406,81.41,7,15,3,http://stats.espncricinfo.com/ci/content/player/6683.html
M Kaif (INDIA),2002-2006,125,110,24,2753,111*,32.01,3822,72.03,2,17,8,http://stats.espncricinfo.com/ci/content/player/29990.html
SV Carlisle (ZIM),1995-2005,111,107,8,2740,121*,27.67,4325,63.35,3,9,11,http://stats.espncricinfo.com/ci/content/player/55307.html
MDKJ Perera (SL),2013-2019,98,93,5,2739,135,31.12,2945,93,5,14,8,http://stats.espncricinfo.com/ci/content/player/300631.html
Mohammad Shahzad (AFG),2009-2019,84,84,3,2727,131*,33.66,3082,88.48,6,14,4,http://stats.espncricinfo.com/ci/content/player/419873.html
Salman Butt (PAK),2004-2010,78,78,4,2725,136,36.82,3572,76.28,8,14,15,http://stats.espncricinfo.com/ci/content/player/42683.html
RG Twose (NZ),1995-2001,87,81,11,2717,103,38.81,3603,75.4,1,20,5,http://stats.espncricinfo.com/ci/content/player/38624.html
GJ Whittall (ZIM),1993-2003,147,142,22,2705,83,22.54,4011,67.43,0,11,12,http://stats.espncricinfo.com/ci/content/player/55848.html
RS Bopara (ENG),2007-2015,120,109,21,2695,101*,30.62,3462,77.84,1,14,4,http://stats.espncricinfo.com/ci/content/player/10582.html
BA Stokes (ENG),2011-2019,95,81,15,2682,102*,40.63,2855,93.94,3,20,5,http://stats.espncricinfo.com/ci/content/player/311158.html
Sikandar Raza (ZIM),2013-2019,97,93,15,2656,141,34.05,3249,81.74,3,14,1,http://stats.espncricinfo.com/ci/content/player/299572.html
Mudassar Nazar (PAK),1977-1989,122,115,10,2653,95,25.26,5130,51.71,0,16,6,http://stats.espncricinfo.com/ci/content/player/41308.html
EC Joyce (ENG/IRE),2006-2018,78,77,8,2622,160*,38,3630,72.23,6,15,5,http://stats.espncricinfo.com/ci/content/player/24249.html
Ahmed Shehzad (PAK),2009-2017,81,81,1,2605,124,32.56,3614,72.08,6,14,7,http://stats.espncricinfo.com/ci/content/player/259410.html
NJ O'Brien (IRE),2006-2018,103,101,9,2581,109,28.05,3638,70.94,1,18,3,http://stats.espncricinfo.com/ci/content/player/24289.html
Zaheer Abbas (PAK),1974-1985,62,60,6,2572,123,47.62,3033,84.8,7,13,2,http://stats.espncricinfo.com/ci/content/player/43695.html
